case,problem,cores,makespan,added_copy,original_singlecore,source,plan,speedup
case_005,2,2,51025,690726,95618,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_005_multicore_res.json,1.8739441450269476
case_005,2,3,39002,1152972,95618,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_005_multicore_res.json,2.451617865750474
case_005,2,4,37038,1555314,95618,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_005_multicore_res.json,2.5816188779091744
case_005,2,5,37038,1555314,95618,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_005_multicore_res.json,2.5816188779091744
case_005,3,1,95618,0,95618,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_005_multicore_res.json,1.0
case_005,3,2,50990,690726,95618,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_005_multicore_res.json,1.875230437340655
case_005,3,3,37103,1152972,95618,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_005_multicore_res.json,2.5770961916826134
case_005,3,4,34188,1555314,95618,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_005_multicore_res.json,2.796829296829297
case_005,3,5,34188,1555314,95618,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_005_multicore_res.json,2.796829296829297
case_006,1,1,82837,16400,82837,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_006_multicore_res.json,1.0
case_006,1,2,45580,91264,82837,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_006_multicore_res.json,1.8173979815708645
case_006,1,3,31151,13824,82837,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_006_multicore_res.json,2.6592083721228854
case_006,1,4,31151,13824,82837,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_006_multicore_res.json,2.6592083721228854
case_006,1,5,31151,13824,82837,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_006_multicore_res.json,2.6592083721228854
case_006,2,1,82837,16400,82837,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_006_multicore_res.json,1.0
case_006,2,2,39362,3456,82837,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_006_multicore_res.json,2.1044916416848736
case_006,2,3,31151,0,82837,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_006_multicore_res.json,2.6592083721228854
case_006,2,4,31151,0,82837,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_006_multicore_res.json,2.6592083721228854
case_006,2,5,31151,0,82837,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_006_multicore_res.json,2.6592083721228854
case_006,3,1,82837,16400,82837,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_006_multicore_res.json,1.0
case_006,3,2,39362,3456,82837,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_006_multicore_res.json,2.1044916416848736
case_006,3,3,31151,0,82837,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_006_multicore_res.json,2.6592083721228854
case_006,3,4,31151,0,82837,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_006_multicore_res.json,2.6592083721228854
case_006,3,5,31151,0,82837,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_006_multicore_res.json,2.6592083721228854
case_007,1,1,1013588,82944,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_007_multicore_res.json,0.9989877543933038
case_007,1,2,507494,27648,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_007_multicore_res.json,1.9952196479170197
case_007,1,3,338094,55296,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_007_multicore_res.json,2.994912657426633
case_007,1,4,254398,82944,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_007_multicore_res.json,3.980227831979811
case_007,1,5,203834,110592,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_007_multicore_res.json,4.967581463347626
case_007,2,1,1012562,0,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_007_multicore_res.json,1.0
case_007,2,2,506906,35328,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_007_multicore_res.json,1.9975340595692297
case_007,2,3,338094,55296,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_007_multicore_res.json,2.994912657426633
case_007,2,4,254398,82944,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_007_multicore_res.json,3.980227831979811
case_007,2,5,203834,110592,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_007_multicore_res.json,4.967581463347626
case_007,3,1,1012562,0,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_007_multicore_res.json,1.0
case_007,3,2,506906,35328,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_007_multicore_res.json,1.9975340595692297
case_007,3,3,338094,55296,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_007_multicore_res.json,2.994912657426633
case_007,3,4,254398,82944,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_007_multicore_res.json,3.980227831979811
case_007,3,5,203834,110592,1012562,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_007_multicore_res.json,4.967581463347626
case_008,1,1,487605,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_008_multicore_res.json,1.0
case_008,1,2,244266,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_008_multicore_res.json,1.9962049568912579
case_008,1,3,163359,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_008_multicore_res.json,2.984867684057811
case_008,1,4,123060,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_008_multicore_res.json,3.962335446123842
case_008,1,5,100603,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_008_multicore_res.json,4.846823653370178
case_008,2,1,487605,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_008_multicore_res.json,1.0
case_008,2,2,244266,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_008_multicore_res.json,1.9962049568912579
case_008,2,3,163359,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_008_multicore_res.json,2.984867684057811
case_008,2,4,123060,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_008_multicore_res.json,3.962335446123842
case_008,2,5,55855,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_008_multicore_res.json,8.729836182973772
case_008,3,1,487605,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_008_multicore_res.json,1.0
case_008,3,2,244266,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_008_multicore_res.json,1.9962049568912579
case_008,3,3,163359,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_008_multicore_res.json,2.984867684057811
case_008,3,4,123060,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_008_multicore_res.json,3.962335446123842
case_008,3,5,55855,0,487605,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_008_multicore_res.json,8.729836182973772
case_009,1,1,153745,80024,153261,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_009_multicore_res.json,0.9968519301440697
case_009,1,2,91819,193618,153261,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_009_multicore_res.json,1.6691643341792004
case_009,1,3,91819,193618,153261,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_009_multicore_res.json,1.6691643341792004
case_009,1,4,91819,193618,153261,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_009_multicore_res.json,1.6691643341792004
case_009,1,5,83830,447056,153261,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_009_multicore_res.json,1.8282357151377788
case_009,2,1,153261,0,153261,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_009_multicore_res.json,1.0
case_009,2,2,87935,366080,153261,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_009_multicore_res.json,1.7428896343890374
case_009,2,3,85607,6656,153261,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_009_multicore_res.json,1.790285841111124
case_009,2,4,58230,1094910,153261,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_009_multicore_res.json,2.6319938176197835
case_009,2,5,51788,1328826,153261,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_009_multicore_res.json,2.959392137174635
case_009,3,1,153261,0,153261,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_009_multicore_res.json,1.0
case_009,3,2,87935,366080,153261,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_009_multicore_res.json,1.7428896343890374
case_009,3,3,85607,6656,153261,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_009_multicore_res.json,1.790285841111124
case_009,3,4,56944,1094910,153261,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_009_multicore_res.json,2.69143368923855
case_009,3,5,47234,1328826,153261,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_009_multicore_res.json,3.2447177880340434
case_010,1,1,86969,0,86969,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_010_multicore_res.json,1.0
case_010,1,2,45626,48384,86969,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_010_multicore_res.json,1.9061280848638933
case_010,1,3,30689,48384,86969,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_010_multicore_res.json,2.833881846915833
case_010,1,4,29780,362880,86969,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_010_multicore_res.json,2.92038280725319
case_010,1,5,29780,362880,86969,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_010_multicore_res.json,2.92038280725319
case_010,2,1,86969,0,86969,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_010_multicore_res.json,1.0
case_010,2,2,41049,1561020,86969,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_010_multicore_res.json,2.118663061219518
case_010,2,3,29848,10368,86969,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_010_multicore_res.json,2.9137295631198072
case_010,2,4,29617,133632,86969,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_010_multicore_res.json,2.936455414120269
case_010,2,5,19138,554512,86969,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_010_multicore_res.json,4.544309750235135
case_010,3,1,86969,0,86969,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_010_multicore_res.json,1.0
case_010,3,2,40461,1561020,86969,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_010_multicore_res.json,2.1494525592545908
case_010,3,3,29848,10368,86969,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_010_multicore_res.json,2.9137295631198072
case_010,3,4,29617,133632,86969,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_010_multicore_res.json,2.936455414120269
case_010,3,5,18544,554512,86969,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_010_multicore_res.json,4.68987273511648
case_011,1,1,184697,0,184697,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_011_multicore_res.json,1.0
case_011,1,2,92646,180224,184697,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_011_multicore_res.json,1.9935777043801135
case_011,1,3,69625,1081344,184697,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_011_multicore_res.json,2.6527396768402154
case_011,1,4,46880,540672,184697,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_011_multicore_res.json,3.9397824232081913
case_011,1,5,46880,540672,184697,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_011_multicore_res.json,3.9397824232081913
case_011,2,1,184697,0,184697,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_011_multicore_res.json,1.0
case_011,2,2,92646,180224,184697,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_011_multicore_res.json,1.9935777043801135
case_011,2,3,62289,2535424,184697,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_011_multicore_res.json,2.9651623882226397
case_011,2,4,46880,540672,184697,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_011_multicore_res.json,3.9397824232081913
case_011,2,5,46828,1624064,184697,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_011_multicore_res.json,3.9441573417613394
case_011,3,1,184697,0,184697,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_011_multicore_res.json,1.0
case_011,3,2,92646,180224,184697,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_011_multicore_res.json,1.9935777043801135
case_011,3,3,62289,2535424,184697,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_011_multicore_res.json,2.9651623882226397
case_011,3,4,46880,540672,184697,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_011_multicore_res.json,3.9397824232081913
case_011,3,5,46253,1624064,184697,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_011_multicore_res.json,3.9931896309428576
case_012,1,1,59088,0,59088,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_012_multicore_res.json,1.0
case_012,1,2,29964,13248,59088,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_012_multicore_res.json,1.971966359631558
case_012,1,3,19924,32832,59088,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_012_multicore_res.json,2.965669544268219
case_012,1,4,17253,39168,59088,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_012_multicore_res.json,3.424795687706486
case_012,1,5,14139,29376,59088,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_012_multicore_res.json,4.17907914279652
case_012,2,1,59088,0,59088,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_012_multicore_res.json,1.0
case_012,2,2,26437,12096,59088,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_012_multicore_res.json,2.2350493626356998
case_012,2,3,17932,32064,59088,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_012_multicore_res.json,3.295114878429623
case_012,2,4,14747,3456,59088,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_012_multicore_res.json,4.0067810402115684
case_012,2,5,12452,0,59088,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_012_multicore_res.json,4.745261805332476
case_012,3,1,59088,0,59088,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_012_multicore_res.json,1.0
case_012,3,2,26437,12096,59088,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_012_multicore_res.json,2.2350493626356998
case_012,3,3,17932,32064,59088,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_012_multicore_res.json,3.295114878429623
case_012,3,4,14747,3456,59088,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_012_multicore_res.json,4.0067810402115684
case_012,3,5,12452,0,59088,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_012_multicore_res.json,4.745261805332476
case_013,1,1,264286,8192,263949,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_013_multicore_res.json,0.9987248662433879
case_013,1,2,132198,8192,263949,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_013_multicore_res.json,1.9966187083011846
case_013,1,3,88351,16384,263949,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_013_multicore_res.json,2.98750438591527
case_013,1,4,66982,24576,263949,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_013_multicore_res.json,3.9405959810098237
case_013,1,5,54363,32768,263949,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_013_multicore_res.json,4.855305998565201
case_013,2,1,263949,0,263949,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_013_multicore_res.json,1.0
case_013,2,2,132198,8192,263949,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_013_multicore_res.json,1.9966187083011846
case_013,2,3,88351,16384,263949,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_013_multicore_res.json,2.98750438591527
