case,method,seeds,distinct_winning_plans,min_makespan,max_makespan
case_009,component,3,1,92198,92198
case_009,legacy,3,1,92225,92225
case_009,adaptive,3,1,83830,83830
case_017,component,3,2,35340,35496
case_017,legacy,3,1,35496,35496
case_017,adaptive,3,1,35496,35496
case_018,component,3,1,205917,205917
case_018,legacy,3,1,205917,205917
case_018,adaptive,3,1,205917,205917
case_023,component,3,1,24268,24268
case_023,legacy,3,2,24268,24486
case_023,adaptive,3,2,24268,24486
case_024,component,3,1,2555343,2555343
case_024,legacy,3,1,2555343,2555343
case_024,adaptive,3,1,2555343,2555343
case_026,component,3,1,41688,41688
case_026,legacy,3,1,42058,42058
case_026,adaptive,3,1,41688,41688
case_027,component,3,1,558753,558753
case_027,legacy,3,1,558753,558753
case_027,adaptive,3,1,558753,558753
case_036,component,3,1,187182,187182
case_036,legacy,3,1,187182,187182
case_036,adaptive,3,1,187182,187182
case_042,component,3,3,357340,359292
case_042,legacy,3,3,357340,364410
case_042,adaptive,3,1,351786,351786
case_048,component,3,1,222220,222220
case_048,legacy,3,1,222220,222220
case_048,adaptive,3,1,222220,222220
case_050,component,3,1,108121,108121
case_050,legacy,3,1,108160,108160
case_050,adaptive,3,1,78548,78548
case_064,component,3,1,19116,19116
case_064,legacy,3,1,19116,19116
case_064,adaptive,3,1,16469,16469
case_068,component,3,1,302408,302408
case_068,legacy,3,1,303554,303554
case_068,adaptive,3,1,268666,268666
case_074,component,3,3,332081,332422
case_074,legacy,3,3,333227,336492
case_074,adaptive,3,3,333227,336492
case_093,component,3,1,15876,15876
case_093,legacy,3,1,15876,15876
case_093,adaptive,3,1,15876,15876
case_100,component,3,2,57811,57989
case_100,legacy,3,1,58085,58085
case_100,adaptive,3,1,57971,57971
