config_id,case,problem,cores,group,variant,allowed_time_regression,makespan,added_copy,actual_time_regression,bytes_saved,archived_plan
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,0.0,162261,3554692,0.0,0,plans/69b6aa548d471449814fcd031b653883572869877a26f6da7dee12dd7a3ad4e3.json
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,0.01,162261,3554692,0.0,0,plans/69b6aa548d471449814fcd031b653883572869877a26f6da7dee12dd7a3ad4e3.json
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,0.03,162261,3554692,0.0,0,plans/69b6aa548d471449814fcd031b653883572869877a26f6da7dee12dd7a3ad4e3.json
case_060_p2_n5,case_060,2,5,frozen_regression,persistent,0.0,164455,3644800,0.0,0,plans/c94610c6820f26b2b2dd11bc0d73edc1e5d8ceadc706087c198802b84200aece.json
case_060_p2_n5,case_060,2,5,frozen_regression,persistent,0.01,164455,3644800,0.0,0,plans/c94610c6820f26b2b2dd11bc0d73edc1e5d8ceadc706087c198802b84200aece.json
case_060_p2_n5,case_060,2,5,frozen_regression,persistent,0.03,164455,3644800,0.0,0,plans/c94610c6820f26b2b2dd11bc0d73edc1e5d8ceadc706087c198802b84200aece.json
case_060_p2_n5,case_060,2,5,frozen_regression,mature,0.0,163289,3740032,0.0,0,plans/79276bc069933aecd9feb1e3d223f5d8e3bdea621b99ec064eb4654bd68b0cf5.json
case_060_p2_n5,case_060,2,5,frozen_regression,mature,0.01,164455,3644800,0.007140713703923662,95232,plans/c94610c6820f26b2b2dd11bc0d73edc1e5d8ceadc706087c198802b84200aece.json
case_060_p2_n5,case_060,2,5,frozen_regression,mature,0.03,165264,3588480,0.012095119695754164,151552,plans/76f298c5aa192d3974f66f85f95a096dc32ee6f1fd2959ad52f4b36a7c755262.json
case_047_p3_n4,case_047,3,4,core_regression,legacy,0.0,90017,2114418,0.0,0,plans/c98f373c52aefafcedd0ce4c29cd66f7f0d7cd4fe65f0918771b8b9bf1b03d60.json
case_047_p3_n4,case_047,3,4,core_regression,legacy,0.01,90017,2114418,0.0,0,plans/c98f373c52aefafcedd0ce4c29cd66f7f0d7cd4fe65f0918771b8b9bf1b03d60.json
case_047_p3_n4,case_047,3,4,core_regression,legacy,0.03,90017,2114418,0.0,0,plans/c98f373c52aefafcedd0ce4c29cd66f7f0d7cd4fe65f0918771b8b9bf1b03d60.json
case_047_p3_n4,case_047,3,4,core_regression,persistent,0.0,90052,2114418,0.0,0,plans/5780646d664bdcb55447599b49a7f21b44acd1b18172917b24d158eabd42b0fb.json
case_047_p3_n4,case_047,3,4,core_regression,persistent,0.01,90052,2114418,0.0,0,plans/5780646d664bdcb55447599b49a7f21b44acd1b18172917b24d158eabd42b0fb.json
case_047_p3_n4,case_047,3,4,core_regression,persistent,0.03,92392,2106546,0.025984986452272096,7872,plans/e9a719f5329991fbada41966329b8f6b437832a9402d6ad1982529b326182c51.json
case_047_p3_n4,case_047,3,4,core_regression,mature,0.0,91015,2152850,0.0,0,plans/205c697a7cd5b255a45e15701764696801d4ff5643b5dca89ba177facfec4b43.json
case_047_p3_n4,case_047,3,4,core_regression,mature,0.01,91015,2152850,0.0,0,plans/205c697a7cd5b255a45e15701764696801d4ff5643b5dca89ba177facfec4b43.json
case_047_p3_n4,case_047,3,4,core_regression,mature,0.03,91015,2152850,0.0,0,plans/205c697a7cd5b255a45e15701764696801d4ff5643b5dca89ba177facfec4b43.json
case_025_p3_n5,case_025,3,5,existing_regression,legacy,0.0,942350,118272,0.0,0,plans/9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4.json
case_025_p3_n5,case_025,3,5,existing_regression,legacy,0.01,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025_p3_n5,case_025,3,5,existing_regression,legacy,0.03,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025_p3_n5,case_025,3,5,existing_regression,persistent,0.0,942938,110592,0.0,0,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025_p3_n5,case_025,3,5,existing_regression,persistent,0.01,942938,110592,0.0,0,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025_p3_n5,case_025,3,5,existing_regression,persistent,0.03,942938,110592,0.0,0,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025_p3_n5,case_025,3,5,existing_regression,mature,0.0,942350,118272,0.0,0,plans/9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4.json
case_025_p3_n5,case_025,3,5,existing_regression,mature,0.01,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025_p3_n5,case_025,3,5,existing_regression,mature,0.03,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_047_p3_n1,case_047,3,1,core_regression,legacy,0.0,277066,0,0.0,0,plans/400a057303f1a07af8b4726b5b91c234660c58109ea02ec870ca7e7934ab204d.json
case_047_p3_n1,case_047,3,1,core_regression,legacy,0.01,277066,0,0.0,0,plans/400a057303f1a07af8b4726b5b91c234660c58109ea02ec870ca7e7934ab204d.json
case_047_p3_n1,case_047,3,1,core_regression,legacy,0.03,277066,0,0.0,0,plans/400a057303f1a07af8b4726b5b91c234660c58109ea02ec870ca7e7934ab204d.json
case_047_p3_n1,case_047,3,1,core_regression,persistent,0.0,277066,0,0.0,0,plans/400a057303f1a07af8b4726b5b91c234660c58109ea02ec870ca7e7934ab204d.json
case_047_p3_n1,case_047,3,1,core_regression,persistent,0.01,277066,0,0.0,0,plans/400a057303f1a07af8b4726b5b91c234660c58109ea02ec870ca7e7934ab204d.json
